job_title,company,location,salary,tags
Senior Solution Engineer AI Enterprise,2100 NVIDIA USA,🇺🇸 United States,💰 $55k - $100k*,"Docker,Senior,Cloud,Engineering,Python,Software,Leader,Linux,Technical,Training,Support"
Senior Golang Software Engineer CIS Data Services,Centripetal,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Senior,Software"
Software Engineer Product,Prelim,Chicago,💰 $58k - $100k*,"Banking,Growth,Engineering,Software,React,Technical,Financial,Node. JS"
Software Engineer Product,Prelim,🇺🇸 United States,💰 $58k - $100k*,"Banking,Growth,Engineering,Software,React,Technical,Financial,Node. JS"
Full Stack Software Engineer,Senior Sign,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Senior,Software"
Staff Backend Engineer Messaging Platform,Postscript,🌏 Probably worldwide,💰 $55k - $100k*,"Golang,Ecommerce,Marketing,Backend,Shopify"
Senior Security Engineer Enterprise Security,Airbnb,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Senior,Security"
Software Engineer,Spacelift,🌏 Probably worldwide,💰 $63k - $105k*,"Golang,Software"
Senior Software Engineer Identity,Alpaca,🇺🇸 United States,💰 $58k - $98k*,"Finance,Senior,Cloud,Reliability,Software,Engineering,Management,Technical,Support,System,Financial,Code,Test,Backend,Design"
Senior AI Engineer,Awin,🇩🇪 Germany,💰 $55k - $100k*,"Chatbot,Cloud,Senior,Python,Software,Health,Engineering,Technical,Support,System,Design,Junior"
Backend Engineer,Fathom,🌏 Probably worldwide,💰 $60k - $110k*,"Golang,Backend"
Lead Software Engineer Platform,Alpaca,🇧🇬 Bulgaria,💰 $35k - $55k*,"Docker,Go,Architect,Testing,Software,Engineering,Lead,Code,Design"
Staff Software Engineer,Applied Systems,🌏 Probably worldwide,💰 $63k - $105k*,"Golang,Leader,Engineering,Software"
Senior Software Engineer Backend,Fullstory,🌏 Probably worldwide,💰 $65k - $110k*,"Golang,Senior,Backend,Software"
Senior Backend Golang Engineer Mailgun Send,Mailgun,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Senior,Backend"
Job 19004 Junior Quality Assurance Engineer Brazil,CI&T,"Campinas, SP",💰 $55k - $100k*,"Engineering,Testing,Software,Health,Quality Assurance,Support,Mobile,Test,Junior,DevOps,Java"
Senior Technical Product Support Engineer,RefleXion Medical,🇺🇸 United States,💰 $55k - $100k*,"Analytics,Senior,Engineering,Software,Leader,Executive,Management,Technical,Training,Travel,Support,System,Financial,Healthcare,Salesforce"
Senior Product Engineer,PredictionHealth,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Senior"
Protocol Engineer,Nimbus,🇮🇳 India,💰 $60k - $100k*,"Senior,Embedded,Software,Ethereum,Web,Mobile,Developer"
Backend Engineer Developer SDKs Golang expert,Stripe,🌏 Probably worldwide,💰 $65k - $110k*,"Golang,Financial,Developer,Backend"
