job_title,company,location,salary,tags
Automotive Claims Adjuster,Protective,Work From Home,💰 $50k - $80k*,"Health,Support,Recruitment,Healthcare,Financial,Non Tech"
Sales Executive,G-P,🇺🇸 United States,💰 $70k - $90k*,"Software,Support,Executive,Growth,Legal,Management,Sales,SaaS"
Senior Software Engineer Identity,Alpaca,🇺🇸 United States,💰 $58k - $98k*,"Test,Software,Code,Support,Design,Senior,Reliability,Technical,System,Management,Engineering,Engineer,Financial,Backend,Cloud"
Lead .NET Developer,Capco,🌏 Probably worldwide,💰 $63k - $103k*,"Recruiter,Lead,DevOps,Software,Code,C#,Senior,Recruitment,Front End,Technical,Growth,Management,Security,Financial,Developer,Cloud"
Sales Executive,G-P,🇺🇸 United States,💰 $70k - $90k*,"Software,Support,Executive,Growth,Legal,Management,Sales,SaaS"
Financial Controller,1840 & Company,"Quezon City, Metro Manila",💰 $80k - $110k*,"Strategy,Lead,Investment,Banking,Software,Accounting,Leader,Support,Senior,Growth,Controller,Management,Operational,Financial"
Intermediate Software Engineer,Stronghold,🇳🇿 New Zealand,💰 $50k - $98k*,"Engineering,Lead,Design,Front End,Code,C#,JavaScript,Node. JS,Financial,Rails,API,Fintech,Software,Support,Web,Technical,Growth,System,Management,Engineer,Backend,Cloud"
SDE I,Upstox,Bengaluru,💰 $60k - $100k*,"Investment,Software,Code,Go,UX,React,Design,iOS,Android,Growth,Management,Engineering,Flutter,Engineer,Developer,Mobile"
International Staff Accountant,Acquia,🇬🇧 United Kingdom,💰 $70k - $90k*,"Payroll,Operations,Training,Software,Accounting,Director,Support,Leader,Microsoft,Travel,Excel,Analyst,HR,Accountant,System,Financial"
International Staff Accountant,Acquia,🇬🇧 United Kingdom,💰 $70k - $90k*,"Payroll,Operations,Training,Software,Accounting,Director,Support,Leader,Microsoft,Travel,Excel,Analyst,HR,Accountant,System,Financial"
Senior Financial Analyst,StockX,🇺🇸 United States,💰 $65k - $88k*,"E-Commerce,Accounting,Director,Marketing,Senior,Analyst,Operational,Financial,Non Tech"
Senior Accountant,Polygon Technology,New York City - Remote,💰 $80k - $120k*,"Crypto,Health,Software,Accounting,Support,Web,Senior,Recruitment,Accountant,Technical,Manager,Management,Ethereum"
Drift Business Development Manager,Drift Protocol,🇺🇸 United States,💰 $50k - $120k*,"Investment,Defi,Manager,Management,Sales,Financial,Go"
Smart Contract Auditor,Nethermind,"Remote, Worldwide",💰 $50k - $80k*,"Golang,Defi,Software,Code,Recruitment,Solidity,Security,Engineering,Ethereum,Web3"
Business Development Manager APAC,Chorus One,Remote job,💰 $30k - $50k*,"Crypto,Salesforce,Cryptocurrency,Lead,Investment,Travel,Design,Manager,Management,Sales,Ethereum,Financial"
